,Topic,Count,Name,Representation,Llama2,Representative_Docs,mean,sem,median
14,13,507,13_duffy_mike_prime_wright,"['duffy', 'mike', 'prime', 'wright', 'senator', 'nigel', 'gerstein', 'duffys', 'was', 'senate']",PMO Scandal and Cover-Up,"[""Mr. Speaker, the Prime Minister falsely claimed that Nigel Wright was the only one aware of the $90,000 payment to Mike Duffy. Today we learned more details about how the entire PMO orchestrated a plan for Mike Duffy and we learned that the Prime Minister ordered Mike Duffy not to co-operate with the Deloitte audit. The RCMP and Mike Duffy's lawyer have shown us that the Prime Minister has not been honest about this scandal. When will he come clean and stop hiding his own role in this scandal?"", ""Mr. Speaker, we know from RCMP documents that Irving Gerstein spoke with Nigel Wright and Mike Duffy about using the Conservative Party fund to pay back former Conservative senator Mike Duffy's improper expenses. When did the Prime Minister first learn that the party had offered to cover the entire payment? Was it on May 15?"", ""Mr. Speaker, here is the thing. The minister is telling us that the Prime Minister told Mike Duffy to immediately pay the money back, so then how did Nigel Wright get involved? Who told Nigel Wright to go and meet with Mike Duffy? That is what I would like to know, because who else in the Prime Minister's Office, if it was not the Prime Minister, gave Nigel Wright the authority to begin the negotiations with Mike Duffy, if that was the answer that had been given in February?""]",0.44890475,0.007857376949770744,0.4503644
68,67,96,67_treasury_board_money_president,"['treasury', 'board', 'money', 'president', 'expenses', 'billion', 'spent', '31', 'auditor', 'was']",Budgetary Accountability and Transparency,"[""Give me a break, Mr. Speaker. Do we need to send the UPAC to search the President of the Treasury Board's office to get answers? He still thinks that quoting the Auditor General out of context is going to convince people. Come on. The President of the Treasury Board lost track of $3.1 billion. It is therefore up to him to answer to Canadians, in his own words. His department maintains that a new expenditure monitoring system will not be implemented until 2014. That means four full years without proper monitoring. Can the President of the Treasury Board tell us how much money has been spent on the anti-terrorism initiative since 2010?"", ""Mr. Speaker, now that we know that the President of the Treasury Board is able to stand, I would like to give him a third opportunity to tell Canadians about his use of the border infrastructure fund for projects in his riding, which is 300 kilometres from the border. How can the President of the Treasury Board tell Canadians that he is going to cut their services when he himself is responsible for wasting $50 million of taxpayers' money?"", 'Mr. Speaker, clearly the department of the President of the Treasury Board did not do those controls, or it would know where the $3.1 billion went in the first place. The government has abandoned accountability. The Auditor General said this money was not reported to Parliament, and contrary to what the President of the Treasury Board says, it was not even reported to cabinet, the Auditor General said. Earlier today, the Conservative member for Nipissing—Timiskaming said the billions of dollars would be identified in “due course”. Can the President of the Treasury Board tell us when “due course” will eventually find its way to this House?']",0.4588255,0.020503230469900345,0.45008028
73,72,89,72_nexen_cnooc_takeover_chinese,"['nexen', 'cnooc', 'takeover', 'chinese', 'resources', 'china', 'deal', 'natural', 'foreign', 'conservatives']",Foreign Investment in Natural Resources,"[""Mr. Speaker, the Conservatives are up against the deadline on Nexen. Canadians are worried about this deal. Approving the Nexen buyout would give a Chinese state-owned company ownership over a huge slice of Canada's natural resources, yet this massive decision is being made behind closed doors. There are no clear rules and no consultation with Canadians. That is unacceptable. Will the Conservatives announce their verdict on this Nexen takeover in the full light of day, or should Canadians expect another last minute decision taken at midnight?"", ""Mr. Speaker, there are more and more questions about the Chinese government's takeover of Nexen. Yesterday we learned that CNOOC and Nexen had jointly withdrawn and resubmitted their offer for the acquisition of Nexen shares in the United States. The Americans are concerned about this deal, and rightly so. Do the Conservatives know what is in the new offer? What impact will this move have on the minister's decision to approve the deal?"", ""Mr. Speaker, it has been two years since the Conservatives promised to bring in new rules for investments in Canada, in response to pressure from the NDP. On the weekend, Canadians learned that there will be new rules, but only after the Conservatives approve the sale of Nexen to CNOOC. That is very irresponsible. How can the Conservatives claim to be acting responsibly when they refuse to consult Canadians about CNOOC's takeover of Nexen and our natural resources?""]",0.46210793,0.01616619533616545,0.47216776
71,70,91,70_officer_budget_pbo_parliamentary,"['officer', 'budget', 'pbo', 'parliamentary', 'information', 'conservatives', 'kevin', 'page', 'hiding', 'the']",Accountability of Government Spending,"['Mr. Speaker, the government is intent on undermining the work of the Parliamentary Budget Officer. In addition to refusing to provide the information he needs, the government is refusing to ensure that the Parliamentary Budget Officer has adequate funding. This government refuses to give the facts on the state of public finances and has made every effort to get rid of an embarrassing officer of the House. Today, Kevin Page is asking us to eliminate his position or to fund it. When will this government stop playing games and give the Parliamentary Budget Officer the means to do his work in a completely independent manner?', ""Mr. Speaker, the Parliamentary Budget Officer uses the same departmental budget and economic forecasts. The mandate of the Parliamentary Budget Officer is to provide independent analyses to Parliament on the state of the nation's finances, and he has a legislative right to access all information necessary to fulfill his responsibilities. Despite repeated requests for information, the finance minister has refused, claiming cabinet confidentiality, and now Conservative MPs are issuing veiled threats that the Parliamentary Budget Officer's budget will be cut. Why will the government not respect the law and give the Parliamentary Budget Officer access to all the information he needs to do his job?"", ""Mr. Speaker, Canadians want to know how budget cuts will affect the services they rely on. It is a sad day when the Parliamentary Budget Officer has to go to court because the Conservatives are hiding information. The Parliamentary Budget Officer has a mandate to provide analysis to Parliament on the planned spending of the government and the state of the nation's finances. Why are the Conservatives refusing to give the Parliamentary Budget Officer this information?""]",0.46720618,0.021636616947463765,0.48230344
74,73,88,73_census_form_long_data,"['census', 'form', 'long', 'data', 'mandatory', 'statistics', 'decision', 'information', 'the', 'survey']",Census Policy and Data Collection,"['Mr. Speaker, yet again, the Conservative government says one thing and does the exact opposite. It fear-mongers about jail time for the mandatory long form census, yet two years later, people can still go to jail if they do not fill out the mandatory short form census, the labour force survey or the census on agriculture. Will the Conservatives stop the hypocrisy and immediately remove jail time for every type of census in Canada, yes or no?', 'Mr. Speaker, another bad Conservative decision was the elimination of the long form census, a decision that has hurt municipalities and provinces, which lack data for development planning. As Statistics Canada prepares its next census, now is the time for the Conservatives to admit that they were wrong and to restore the long form census. Will they do so?', ""Mr. Speaker, experts have expressed serious concern that the government's incessant fearmongering on the long form census will have disastrous effects on Canadians being willing to fill out the short form census. Now we learn that the government has slashed and reallocated that very budget to persuade Canadians to participate in the census. Will the government stop misleading Canadians about the privacy of the census data, start telling the truth and restore the mandatory long form census?""]",0.4717923,0.02123990191674175,0.5008538
10,9,624,9_tax_taxes_budget_finance,"['tax', 'taxes', 'budget', 'finance', 'deficit', 'billion', 'cuts', 'debt', 'canadians', 'he']",Budget and Taxation Policy,"[""Mr. Speaker, Canada's economic action plan is taking real action to support Canada's economy. Our plan includes lower taxes, allowing Canadians to keep more of their hard-earned money in their own pockets, where it belongs. The Liberal leader does not get it. He actually thinks Canadian taxes are too low and they should pay more. He said, “We will raise your taxes”. He would force Canadians to send more of their money to Ottawa. Could the finance minister please inform the House how our tax-cutting measures are helping our economy?"", 'Mr. Speaker, our government has consistently lowered taxes. In fact, as a result, we have the lowest personal tax burden than we have had in 50 years, and that is more money in the pockets of families. Meanwhile, the Liberal leader keeps pushing reckless spending, which we know would actually kill jobs and take money out of the pockets of people. It is clear that the Liberals have only one plan for the economy, and that is to raise taxes. Will the Minister of Finance please tell the House and Canadians what our government is doing to deliver on our promise to make life more affordable for Canadians?', ""Mr. Speaker, to finance their corporate tax cuts, the Conservatives will have to borrow $1 billion this year, $3 billion next year, more than $5 billion the following year, $6 billion the year after that, and so on. These billions of dollars will be tacked onto the Conservatives' deficit and will have to be paid back by Canadians. Why is the government making Canadians pay for these corporate tax cuts when there are so many other more pressing priorities?""]",0.47734496,0.0072264140913293395,0.4923212
76,75,84,75_summit_g8_g20_summits,"['summit', 'g8', 'g20', 'summits', 'toronto', 'million', 'spending', 'fake', 'cost', 'lake']",Summit Spending Controversies,"['Mr. Speaker, next year, Canadians will host the G20 summit, yet Canadians are concerned when they hear that the Minister of Industry is using the opportunity to siphon millions of dollars to projects that have nothing to do with the summit itself. Could the minister explain why the G8 legacy fund is being used to replace a sidewalk 84 kilometres away from the summit? This sidewalk has nothing to do with the summit. How can the minister justify such blatant, personal misuse of taxpayer dollars?', ""Mr. Speaker, Canadians are rightfully angry about the skyrocketing costs of the G8 and G20 summits. When the Conservatives first chose the industry minister's riding for the summit site, they knew full well that holding it there was a physical impossibility. Now they have had to bail out Toronto at huge expense to taxpayers. It is a billion-dollar boondoggle. How do the Conservatives justify their obvious gross mismanagement?"", ""Mr. Speaker, the Bloc has been rising in this House for 20 years to stand up for Quebeckers. Clearly, the Conservative government has used the G8 and G20 summits to reward its friends. For instance, a $20 million arena was built in the industry minister's riding. To justify this expense, the government is telling us that it is to accommodate the members of the press at the summit. However, with the events about to start in just a few days, organizers are now saying that the arena will be used for neither the G8 nor the G20 summit. These summits have essentially become open bars for the friends of the Conservatives, have they not?""]",0.48044828,0.019195659558110485,0.5181248
58,57,118,57_rcmp_senators_senate_investigation,"['rcmp', 'senators', 'senate', 'investigation', 'prime', 'office', 'senator', 'was', 'he', 'the']",Government Accountability and Transparency,"['Mr. Speaker, let us take another look at what the Prime Minister did and his lack of credibility. First he said he referred the matter to the Ethics Commissioner for investigation but she said no formal request was made. Next, the Prime Minister said the former minister was fully informed. She denies that completely. Then the Prime Minister said the matter was referred to the RCMP. Really, was it? Can the minister responsible for the RCMP confirm that a formal criminal investigation is taking place? Can the Minister of Public Safety confirm that, yes or no?', ""Mr. Speaker, Canadians have the right to know what is happening in the Prime Minister's Office. While we know that PMO staff doctored a report on senators' expenses at least seven times, the Auditor General is about to release his report on the expenses of 105 senators. Nearly half of all senators are under suspicion of fraud. Why did the Prime Minister's Office try to hide the truth about the fraud committed by senators appointed by the Prime Minister?"", ""Mr. Speaker, we are not talking about a Conservative kangaroo court; we are talking about hand-picked Conservative senators facing real court. Now this is an important issue because the Auditor General has identified 40 more senators with dodgy expenses. However, the Prime Minister's lead hand in the Senate said it is going to be up to those 40 to decide whether or not they should reimburse the money; but with Duffy, Brazeau, and Wallin facing breach of trust and fraud, that does not cut it. Will the Prime Minister promise to turn the audit over to the RCMP, so we can determine if any other of these senators should be up on charges?""]",0.48374227,0.018150121010873526,0.50470066
69,68,95,68_pipeline_gateway_british_northern,"['pipeline', 'gateway', 'british', 'northern', 'project', 'enbridge', 'columbia', 'columbians', 'nations', 'first']",Opposition to Enbridge Northern Gateway Pipeline,"['Mr. Speaker, the Conservatives have always been in favour of the northern gateway pipeline, but ever since they announced that they will allow Enbridge to destroy the fragile ecosystem along the northern coast of British Columbia, they have been doing everything they can to distance themselves from the pipeline project they just approved. A spokesperson for the minister even said that the government did not say “yes”; it said “maybe”. Will the Conservatives respect those British Columbians who have said no to Enbridge? Will Conservative Party members represent their constituents, yes, no or maybe?', ""Mr. Speaker, delaying a decision will not make this bad project any better. Apparently there are 21 Conservative MPs from British Columbia, but we would not know it from their deafening silence on Enbridge northern gateway. This raw bitumen pipeline is opposed by over 130 first nations, the Union of British Columbia Municipalities and two-thirds of all British Columbians. If my Conservative colleagues do not care about B. C.'s west coast and do not care about B. C.'s economy, maybe they care enough to protect their own political backsides. Will they finally stand up to the oil lobby, stand up to the Prime Minister, and finally stand up for British Columbia and say “no” to Enbridge northern gateway?"", 'Mr. Speaker, there are only a few days left for the Conservative government to make a decision on the Enbridge northern gateway pipeline. First nations have not been properly consulted. Community after community along the route have rejected this proposal, and two-thirds of all British Columbians say they do not want it. B. C. Conservative MPs have an opportunity to side with British Columbians, listen to the people who elected them and who say “no” to this project. Will Conservatives do the right thing and say “no” to this pipeline that is risky for the environment and for the economy? Will they say “no” to northern gateway?']",0.48562393,0.018854659586245957,0.4695915
8,7,689,7_jobs_manufacturing_lost_job,"['jobs', 'manufacturing', 'lost', 'job', 'are', 'in', 'conservatives', 'sector', 'workers', 'economy']",Job Loss and Economic Instability,"[""Mr. Speaker, it is not just ships they have abandoned. Unfortunately, the Conservatives have also totally abandoned southwestern Ontario. As good high-quality manufacturing jobs disappear, the Conservatives are just twiddling their thumbs. Instead of helping to secure investments that would create jobs here, Canada has lost 400,000 good manufacturing jobs plus all the spinoff jobs those jobs would create. Their inaction is hurting Canadian families and communities. Where is the government's plan to create good manufacturing jobs here in Canada?"", 'Mr. Speaker, all the jobs that came were part-time, precarious jobs. The economy actually lost 12,000 jobs in January, and the Conservatives call the economy spectacular. This is after 2014, when the Canadian economy grew at half the pace of the Canadian population. Four hundred thousand lost manufacturing jobs, and Conservatives say everything is just spectacular. They continue to stick their heads in the sand. We put forward real, concrete solutions to help the manufacturing sector and the small-business sector. When are Conservatives actually going to get to work, bring foward a budget and a plan, and help Canadians, the 1.3 million Canadians who are out of work, find their own jobs back again?', 'Mr. Speaker, we have seen just how out of touch the government is. Conservatives are boasting about precarious jobs, part-time jobs, jobs that pay just half of what they did before the recession because of Conservative economic mismanagement. Canada has lost too many good, high-skilled, highly paid manufacturing jobs. TD Bank says these workers, if they can find work, are now paid an average of $10,000 less a year. Where is the Conservative plan to create good jobs. Where is the jobs plan?']",0.48579413,0.006810077644352822,0.49686357
60,59,108,59_snclavalin_elections_election_money,"['snclavalin', 'elections', 'election', 'money', 'conservative', 'scheme', 'donations', 'party', 'fraud', 'illegal']",Election Fraud Scandal,"[""Mr. Speaker, this was not an administrative dispute. The Conservatives have to pay $230,000 because they are guilty of breaking the Elections Act and of having filed false reports in order to get more money out of Canadian taxpayers' pockets. The in and out system used in that election is strangely similar to what happened in the province of Quebec last spring with another in and out scheme. Thousands of dollars in mysterious payments were made to RMG in several ridings in Quebec. What was that money for? Where did it come from? Where did it go? Why? The defeated Conservative candidates do not know. Neither do we. Will the Conservatives' Quebec lieutenant finally enlighten us and tell us what happened?"", ""Mr. Speaker, it was Conservative candidates who alerted Elections Canada to the fraud. These Conservative candidates told Elections Canada that the money was simply transferred in and out. That is all. Furthermore, the Conservative candidate in Compton—Stanstead is even defending Elections Canada's decision. He said there was a reason behind what was done, but that it was illegal. Will the Conservatives finally admit that they have been caught red-handed once again and that they did not have the right to do what they did?"", ""Mr. Speaker,--Some hon. members: More, more! Mr. Speaker, Elections Canada is hot on the Conservatives' heels. What the parliamentary secretary does not seem to understand is that it is perfectly legal for a party to transfer funds to a candidate to pay for his or her own local expenses. It is another thing to hide national expenses--Some hon. members: Oh, oh! Mr. Speaker, it is another thing to hide national expenses on local books and order candidates to hit the taxpayers up for a rebate on a bill they never paid, on an expense they never incurred. That is called fraud. Now that they have been caught, why do they not admit they committed elections fraud in the last election?""]",0.48591423,0.017572021572962924,0.508443
