,Topic,Count,Name,Representation,Llama2,Representative_Docs,mean,sem,median
64,63,69,63_clam_fisheries_quota_surf,"['clam', 'fisheries', 'quota', 'surf', 'contract', 'brother', 'baylis', 'liberal', 'bid', 'company']",Cronyism in Fisheries Allocation,"[""Mr. Speaker, the Minister of Fisheries has made a sham of the surf clam quota allocation process. He unilaterally expropriated 25% of the quota from one holder. The re-awarded quota went to a company owned by a federal Liberal MP's brother, and also benefits a former Liberal MP. Yesterday, we learned that the cousin of the minister's wife will be heading the company that won the bid. With all of these conflicts of interest, is it not time to restart the allocation process?"", 'Mr. Speaker, let us review what we know about “clamscam”. The fisheries minister went out of his way to award a surf clam quota to a company that, one, was run by the brother of a Liberal MP; two, had the lowest percentage of indigenous ownership of all the bidders; and three, did not even own a boat when they were awarded the quota. Now the minister is under federal investigation for his actions. Will the government scrap the cronyism and restart the bidding process?', 'Mr. Speaker, the Minister of Fisheries awarded a lucrative surf clam quota worth hundreds of millions of dollars to a group that did not have first nation partners in place. It was not incorporated. It did not have a boat or a vessel, or a facility for harvesting. What it did have going for it were Liberal connections, including close family ties to the Liberal caucus. The people of Newfoundland and Labrador want to know why they have to lose their jobs so that the minister can look after Liberal insiders and close family friends.']",0.46440202,0.023449905396278933,0.51042366
11,10,292,10_finance_he_his_ethics,"['finance', 'he', 'his', 'ethics', 'interest', 'conflict', 'morneau', 'shepell', 'commissioner', 'minister']",Financial Conflicts of Interest,"[""Mr. Speaker, the Ethics Commissioner is raising new concerns about the finance minister's conflict of interest. Canadians have lost confidence in him because he hid his Morneau Shepell shares in a numbered company in Alberta and failed to disclose his offshore corporation in France. Canadians are wondering just how many more assets and conflicts of interest he is hiding in his other numbered companies. I ask the finance minister this. What assets is he hiding in 2254165 Ontario Inc.?"", 'Mr. Speaker, that is not true. The Minister of Finance did not sit down with the Ethics Commissioner. He did so only after he was in conflict of interest. We know that Morneau Shepell deals in target benefit pension plans, and that is what the minister put forward in his Bill C-27. The question here is simple. How can the minister think that he is not in conflict of interest when he makes the laws that govern a business in which he holds shares? How can the Minister of Finance say that he is not in conflict of interest?', ""Mr. Speaker, the Minister of Finance's shares in Morneau Shepell put him in conflict of interest with the position he holds. We also know that he has shares in a number of other holding companies. When will the Minister of Finance meet with the Conflict of Interest and Ethics Commissioner as promised, and will he finally disclose all of his other investments to the House so Canadians will know if he is still in conflict of interest?""]",0.4650277,0.010542255610498359,0.47487125
66,65,67,65_lab_winnipeg_scientists_chinese,"['lab', 'winnipeg', 'scientists', 'chinese', 'security', 'wuhan', 'viruses', 'communist', 'laboratory', 'clearance']",National Security and Scientific Collaboration,"[""Mr. Speaker, The Globe and Mail reports that seven government scientists at the Winnipeg lab collaborated with Chinese military scientists and conducted experiments with deadly viruses. One of those Chinese military scientists was actually given access to the government's lab in Winnipeg. How on earth did a Chinese military scientist get access to the government's lab in Winnipeg, a level 4 facility equipped to handle the world's most deadly viruses, and why are Canadian government scientists collaborating with China's military scientists on deadly viruses?"", ""Madam Speaker, Canadians are disturbed that two scientists at the National Microbiology Lab in Winnipeg may have been passing top-secret information to the communist regime in China. Both scientists were fired in January, but the Prime Minister will not tell us why. The scientists were given top-level security clearance by the Liberal government, and we know they shipped deadly viruses like Ebola from Winnipeg to the virology lab in Wuhan, China. It was Canada's security agency, CSIS, that expressed concern, which initiated the scientists being fired. Will the Prime Minister protect our national security and stop providing top-level security clearance to scientists who report to the Chinese military?"", 'Mr. Speaker, perhaps the government can start helping by answering questions that we have been asking about the national security breaches at the Winnipeg lab. Clearly, there were breaches and we need answers. When will it start answering the questions we are asking: Why were the two government scientists fired from the Winnipeg lab? Where are these two government scientists? How did a Chinese military scientist get access to this top-level lab in Winnipeg? Were there any unauthorized transfers of materials from Winnipeg to Wuhan?']",0.46610728,0.016537715555882834,0.45608133
53,52,94,52_blockades_rail_illegal_blockade,"['blockades', 'rail', 'illegal', 'blockade', 'crisis', 'protesters', 'leadership', 'prime', 'the', 'are']",Rail Blockades and Economic Impact,"[""Mr. Speaker, the ongoing rail blockades across this land are crippling our country and holding our economy hostage. CN and VIA Rail have been forced to lay off hundreds of workers as a result of the Prime Minister's weakness. Canadian industry is warning of empty shelves, and production shutdowns will soon follow. Can the Prime Minister tell this House exactly what these blockades are costing the Canadian economy each day they go on?"", 'Mr. Speaker, job losses from these illegal blockades are growing by the hour. Last night, CN Rail announced 450 workers will be laid off. Today, VIA Rail announced another 1,000. When Canadian workers and families have their livelihoods and safety put at risk, the Prime Minister offers nothing but platitudes. If these illegal rail blockades continue, Atlantic Canada will run out of propane, airports will run out of the de-icing fluids that keep us moving in the winter and water treatment facilities will soon lack chemical supplies that keep our drinking water safe. When will the government finally stand up for Atlantic Canada?', ""Mr. Speaker, if it is an unacceptable situation, he should do something about it. After two weeks of the Prime Minister's inaction and weakness, CN Rail and VIA Rail have announced that they are laying off nearly 1,500 workers because of these non-stop blockades across Canada. There are 1,500 men and women who have to look their families in the eye and tell them that they were laid off. They still have bills to pay. Can the Prime Minister tell them on what day the blockades will come down?""]",0.4673939,0.018230487777506445,0.49588758
71,70,61,70_expenses_moving_personalized_judgment,"['expenses', 'moving', 'personalized', 'judgment', 'payouts', 'ministers', 'move', 'staffers', 'staff', 'money']",Government Expense Accountability,"['Mr. Speaker, it is clear that the Liberal House leader only knows her approved talking points. Ironically, they were probably written by the staff to whom she forked over all of the money. Approved personalized cash payouts for moving expenses must be accounted for. We have no answers. Why do the Liberals only believe these expenses were unreasonable once caught?', ""Mr. Speaker, earlier this week, when caught misusing taxpayers' dollars, the Prime Minister's friends, Gerry and Katie, said that when they reviewed their expenses, they found that there were some that were unreasonable. The government continued to say that it was following the rules and was forced to make these payouts because of the rules, but in fact, the senior vice-president at Brookfield Global Relocation Services said just minutes ago that they were not forced to do this. As a matter of fact, they would have been briefed on the exact expenses they themselves were claiming. The question is, did Gerry and Katie believe that these expenses were unreasonable when they claimed them or only when they got caught?"", 'Mr. Speaker, it only took the Liberals nine weeks to rack up over $1 million in moving expenses for their own staffers. Liberals themselves have admitted that the expenses were inappropriate. They were reimbursed for hotels, meals, and actual moving expenses, but then there was something called “personalized cash payments” that these staffers received. What is a personalized cash payment? What other Liberal staffers received personalized cash payments? Does the Prime Minister commit to telling us and telling Canadians who received these ambiguous cash payments, and will they be paid back to the taxpayer?']",0.47314152,0.024688097600687707,0.47737178
39,38,117,38_quebec_provinces_quebecs_premiers,"['quebec', 'provinces', 'quebecs', 'premiers', 'the', 'prime', 'to', 'of', 'premier', 'is']",Federal-Provincial Relations in Quebec,"['Mr. Speaker, I do not think that made things any clearer. Rather than getting briefed by the heritage minister, perhaps the Prime Minister should have been briefed by the Minister of Families. Yesterday, the Minister of Families was quite clear when he said that it was not up to the federal government to tell Quebec how to do things. It is not difficult. Quebec makes its own laws and Ottawa does the same. It is as simple as that. Will the Prime Minister listen to his Minister of Families instead of his Minister of Canadian Heritage and let Quebec legislate in areas under its jurisdiction?', ""Mr. Speaker, Quebec wants to enshrine in the Constitution that it is a French nation by virtue of its common language, yet members have been trying to add conditions since this morning. They are talking about a united Canada and about the rights of anglophones, which no one in the House has questioned. Quebec is not asking for the federal government's opinion. Quebec is a nation, period. Quebec's common language is French; that is another period and that is even a law. Does the government realize that Quebec is enshrining facts in the Constitution that are already the law of the land in Quebec? Quebec is not asking for anyone's opinion."", 'Mr. Speaker, the Liberal government is at war with Ontario, Alberta, Saskatchewan, Manitoba, New Brunswick, British Columbia and Quebec. This weekend, the Minister of Families, who is from Quebec, and his colleague from Louis-Hébert directly and publicly attacked the Premier of Quebec and the Government of Quebec. Their attitude is disrespectful towards the Government of Quebec. I will repeat my question. Why did an announcement for a provincial-federal project, an infrastructure project for Quebec, take place without the Government of Quebec present?']",0.47365636,0.017995121445506086,0.46822405
4,3,546,3_carbon_tax_cost_will,"['carbon', 'tax', 'cost', 'will', 'gas', 'much', 'the', 'taxes', 'that', 'canadians']",Carbon Tax Policy,"[""Mr. Speaker, enough of the carbon tax cover-up. Canadians are fed up with the Prime Minister's refusal to tell them how much this harmful carbon tax will cost them. In B. C., drivers are now paying a whopping $1.60 a litre to tank up their cars. The Liberal carbon tax is going to add 11¢ to that. The price of everything, from groceries to home heating, is going to go up under the Liberal government. When will the Prime Minister finally tell us how much his carbon tax will cost the average Canadian family, and what is he hiding?"", ""Mr. Speaker, the people of Ontario have given a clear message that they do not want a carbon tax. The Prime Minister's carbon tax is an attack on middle-class Canadians, a high cost on those who can least afford to pay it. At this time of uncertainty, higher taxes will just make things worse. When will the Prime Minister stop forcing his carbon tax on Canadians?"", 'Mr. Speaker, the carbon tax cover-up continues. For many Canadians life is becoming more expensive thanks to the Liberal carbon tax. However, of course the millionaire Prime Minister does not get it, because as he said, “I no longer have dealings with the way our family fortune is managed.” How many Canadians have that problem? Now we find out that the carbon tax is going to be 15 times greater than it is today and Canadians will have to pay more. When will the Prime Minister tell us exactly how much his carbon tax will cost? Will he now answer?']",0.47568348,0.007092242945813089,0.48578113
69,68,62,68_c69_bill_pipelines_energy,"['c69', 'bill', 'pipelines', 'energy', 'kill', 'liberals', 'more', 'will', 'pipeline', 'oil']",Pipeline Policy and Job Losses,"['Mr. Speaker, the reality is that in 2019, companies planned to have completed three brand new pipelines in Canada, but the Prime Minister deliberately sabotaged all of them. Those pipelines are gone because of the Liberals, and their “no more pipelines” bill, Bill C-69 will mean no new pipelines proposed or built in Canada again. This week, Trican Well Service had to lay off 70 employees. Thousands more job losses are expected in the new year, but I guess that is what the Prime Minister wants, since apparently he thinks oil and gas and trades workers are dangerous to rural communities. Will the Liberals commit right now to scrap their “no more pipelines” bill, Bill C-69, yes or no?', ""Madam Speaker, what the Liberals fail to mention is that the $40-billion project is exempt from their job-killing carbon tax. Now the Liberals' “no more pipelines” bill, Bill C-69, is a threat to the livelihood of Canadians who depend on the energy sector for employment. New carbon taxes, downstream emissions, regulations and now Bill C-69 will end energy investment in Canada as we know it. The record is clear. The Liberals have failed to get a pipeline built, and it is time for them to scrap this legislation. Will the Minister of Natural Resources from Alberta do the right thing and kill this bill?"", 'Mr. Speaker, the Liberals need to stop talking about their feelings and fix the crisis they have created. Under Conservatives, four new pipelines were built and companies wanted to build three more, two to new markets, when the Liberals came to power, but the Liberals chased them all away. Provinces, industry and financial experts all agree that the Liberals “no more pipelines” bill, Bill C-69 will do exactly what it is designed to do: stop any new pipeline from being proposed or built in Canada again. Will the Liberals act and commit right now to scrap their “no more pipelines” bill, Bill C-69, yes or no?']",0.48711836,0.018448701591372865,0.50734764
1,0,1099,0_tax_budget_taxes_small,"['tax', 'budget', 'taxes', 'small', 'finance', 'deficit', 'that', 'will', 'the', 'he']",Budget and Fiscal Responsibility,"[""Mr. Speaker, there he goes again insulting the people whose taxes he wants to raise. Of course, he said soccer moms and hockey dads were too rich and that is why he needed to take away their children's fitness tax credits. He said farmers and small business owners were rich tax cheats and that is why he needed to attack them, meanwhile protecting his own trust fund and the family business of the finance minister. Despite all of the revenue windfall from his higher taxes, the deficit is three times what he promised it would be this year. Will he tell us in what year the budget will be balanced?"", 'Mr. Speaker, many will recall the sad day when this government was elected on the promise of a modest deficit of just $10 billion. The reality is that, a year ago, the Liberals voted in favour of a budget that provided for a deficit three times that amount. According to the only game plan those folks have to return to a balanced budget, this will not happen until 2055. That is ridiculous. The Minister of Finance will probably present his budget in two weeks, or just after that. Can the minister assure us that he will not touch the tax credits that go directly to Canadians, and that Canadians will not have to pay higher taxes with the next budget?', ""Mr. Speaker, Conservatives kept their word and we delivered a balanced budget, because we, like Canadians, know that budgets do not balance themselves and we cannot spend our way out of debt. The only person who does not seem to know this is the Prime Minister, who just keeps spending and borrowing. We know that today's deficits will be tomorrow's taxes. Canadians are going to have to pay higher taxes for his out-of-control spending. Will he be honest and tell Canadians just how much he is planning on raising taxes on them after the next election?""]",0.48764607,0.005128031104265558,0.49731585
2,1,699,1_energy_pipeline_oil_trans,"['energy', 'pipeline', 'oil', 'trans', 'mountain', 'project', 'jobs', 'sector', 'and', 'built']",Energy Policy and Pipeline Development,"['Mr. Speaker, the Prime Minister is in B. C. today, but he is not there to champion the pipeline that he approved. It is clear that the Liberal B. C. caucus wants this project to fail, and it does not want the Prime Minister to sell the pipeline to British Columbians. If the Prime Minister does not personally intervene to promote the Trans Mountain pipeline project, a project he personally approved, it will not get built. When will the Prime Minister stop putting the jobs of B. C. Liberal MPs ahead of the jobs of tens of thousands of energy workers? When will he finally start to champion this project in British Columbia?', ""Mr. Speaker, the Prime Minister's legacy, when it comes to the energy sector and the hundreds of thousands of Canadians who work in it, has already been established. Not only has he driven out tens of billions of dollars of investment, but he has killed several important energy pipeline projects. Energy east would have brought western Canadian energy to eastern markets, displacing foreign oil and creating jobs in New Brunswick. However, the Prime Minister killed that project by imposing a double standard on Canadian energy from which foreign oil was exempt. Why is the Prime Minister opposed to energy east?"", 'Mr. Speaker, if we cannot trust the numbers, how can we trust that the economy is in good hands? In Alberta, the Prime Minister told oil and gas workers that they should be pleased they were not harder hit, when all they needed to hear was a commitment to build pipelines. Will the Prime Minister finally tell the 100,000 unemployed oil and gas workers today that if the Trans Mountain pipeline and the energy east pipeline are approved, he will also approve them?']",0.49969256,0.00631235315359455,0.5154562
